rtime,lkas,ldws,distance,speed,latitude,longtitude
2020-11-27 15:43:05,1,1,41.91,83,37.06109998,127.1355428
2020-11-27 15:43:06,1,1,43.6,85,37.06119376,127.1355385
2020-11-27 15:43:07,1,1,50.65,87,37.06152445,127.1355024
2020-11-27 15:43:08,1,1,26.15,89,37.06163243,127.1354843
2020-11-27 15:43:09,1,1,27.21,90,37.06186041,127.1354562
2020-11-27 15:43:10,1,1,26.15,91,37.06218272,127.1354403
2020-11-27 15:43:11,1,1,27.96,89,37.06231226,127.13541
2020-11-27 15:43:12,1,1,28.34,89,37.06261444,127.1354019
2020-11-27 15:43:13,1,1,27.21,88,37.06282839,127.1353819
2020-11-27 15:43:14,1,1,26.49,88,37.0629613,127.1353488
2020-11-27 15:43:15,1,1,26.49,87,37.06317672,127.13532920000002
2020-11-27 15:43:16,1,1,25.49,87,37.06338963,127.1353084
2020-11-27 15:43:17,1,1,26.49,87,37.06360549,127.1352865
2020-11-27 15:43:18,1,1,24.85,87,37.06382422,127.1352644
2020-11-27 15:43:19,1,1,27.21,87,37.06410082,127.1352624
2020-11-27 15:43:20,1,1,26.49,87,37.06426061,127.1352169
2020-11-27 15:43:21,1,1,27.21,87,37.06447951,127.1351942
2020-11-27 15:43:22,1,1,28.74,88,37.06474105,127.1352031
2020-11-27 15:43:23,1,1,30.0,89,37.06491699,127.1351456
2020-11-27 15:43:24,1,1,30.0,89,37.0651353,127.1351231
2020-11-27 15:43:25,1,1,31.37,89,37.06535545,127.1351017
2020-11-27 15:43:26,1,1,30.0,90,37.06557766,127.13508
2020-11-27 15:43:27,1,1,30.0,90,37.0658003,127.135059
2020-11-27 15:43:28,1,1,32.34,91,37.06605338,127.1350813
2020-11-27 15:43:29,1,1,30.9,91,37.06625037,127.1350213
2020-11-27 15:43:30,1,1,47.38,92,37.06649959,127.1350482
2020-11-27 15:43:31,1,1,,93,37.06672537,127.1350257
2020-11-27 15:43:32,1,1,,94,37.06695487,127.1350069
2020-11-27 15:43:33,1,1,32.34,7,37.06718698,127.1349867
2020-11-27 15:43:34,1,1,33.37,97,37.06741391,127.13490149999998
2020-11-27 15:43:35,1,1,35.63,97,37.06765597,127.1348741
2020-11-27 15:43:36,1,1,46.38,99,37.06790004,127.1348416
2020-11-27 15:43:37,1,1,,100,37.06814694,127.1348077
2020-11-27 15:43:38,1,1,,101,37.06840163,127.13476090000002
2020-11-27 15:43:39,1,1,,102,37.06864507,127.1347888
2020-11-27 15:43:40,1,1,,103,37.06889354,127.1347207
2020-11-27 15:43:41,1,1,,104,37.06915343,127.1345942
2020-11-27 15:43:42,1,1,,105,37.06938832,127.13458
2020-11-27 15:43:43,1,1,,106,37.06963746,127.1344913
2020-11-27 15:43:44,1,1,,106,37.06988645,127.1344034
2020-11-27 15:43:45,1,1,,107,37.07013662,127.1343074
2020-11-27 15:43:46,1,1,,107,37.07041032,127.1342159
2020-11-27 15:43:47,1,1,32.85,107,37.07063328,127.1340968
2020-11-27 15:43:48,1,1,33.91,107,37.07087682,127.1339773
2020-11-27 15:43:49,1,1,,106,37.07111772,127.1338583
2020-11-27 15:43:50,1,1,,106,37.07135498,127.1337345
2020-11-27 15:43:51,1,1,,105,37.07159172,127.13361090000002
2020-11-27 15:43:52,1,1,,105,37.07182712,127.1334814
2020-11-27 15:43:53,1,1,,104,37.0720571,127.1333483
2020-11-27 15:43:54,1,1,,103,37.07228061,127.1332099
2020-11-27 15:43:55,1,1,,102,37.07255738,127.1331317
2020-11-27 15:43:56,1,1,27.58,100,37.07271469,127.13293090000002
2020-11-27 15:43:57,1,1,26.15,98,37.07292308,127.1327837
2020-11-27 15:43:58,1,1,27.21,96,37.07312973,127.1326376
2020-11-27 15:43:59,1,1,27.58,95,37.073333,127.132492
2020-11-27 15:44:00,1,1,28.34,94,37.07355035,127.1323547
2020-11-27 15:44:01,1,1,29.15,94,37.07373681,127.1322004
2020-11-27 15:44:02,1,1,29.15,94,37.07392145,127.1320405
2020-11-27 15:44:03,1,1,30.9,94,37.07410935,127.1318871
2020-11-27 15:44:04,1,1,28.74,94,37.07429061,127.1317248
2020-11-27 15:44:05,1,1,31.37,95,37.07452364,127.131611
2020-11-27 15:44:06,1,1,79.13,97,37.074732,127.1314656
2020-11-27 15:44:07,1,1,,99,37.07494811,127.1313238
2020-11-27 15:44:08,1,1,65.49,101,37.07516045,127.1311714
2020-11-27 15:44:09,1,1,40.35,101,37.07538047,127.1310274
2020-11-27 15:44:10,1,1,33.37,101,37.07559961,127.1308808
2020-11-27 15:44:11,1,1,38.19,102,37.07581643,127.1307324
2020-11-27 15:44:12,1,1,36.24,103,37.0760246,127.1305682
2020-11-27 15:44:13,1,1,38.19,103,37.07623870000001,127.1304087
2020-11-27 15:44:14,1,1,38.89,104,37.07640551,127.1300423
2020-11-27 15:44:15,1,1,36.87,105,37.07663993,127.1298874
2020-11-27 15:44:16,1,1,35.63,105,37.07687514,127.1297388
2020-11-27 15:44:17,1,1,33.37,105,37.0771114,127.1295889
2020-11-27 15:44:18,1,1,30.0,105,37.07734953,127.1294377
2020-11-27 15:44:19,1,1,32.85,105,37.07759135,127.1295399
2020-11-27 15:44:20,1,1,35.63,105,37.07782445,127.1294033
2020-11-27 15:44:21,1,1,36.87,106,37.07805851,127.1292629
2020-11-27 15:44:22,1,1,35.04,106,37.07829244,127.1291256
2020-11-27 15:44:23,1,1,35.04,106,37.07853922,127.1287246
2020-11-27 15:44:24,1,1,35.04,106,37.07877924,127.1285938
2020-11-27 15:44:25,1,1,35.04,106,37.07901159,127.128693
2020-11-27 15:44:26,1,1,33.37,106,37.07926166,127.1283437
2020-11-27 15:44:27,1,1,32.34,106,37.07950956,127.1282215
2020-11-27 15:44:28,1,1,37.52,107,37.07974366,127.12830490000002
2020-11-27 15:44:29,1,1,30.9,106,37.07999046,127.1281916
2020-11-27 15:44:30,1,1,30.45,106,37.08023163,127.12807820000002
2020-11-27 15:44:31,1,1,30.0,104,37.08046654,127.1279684
2020-11-27 15:44:32,1,1,28.34,101,37.08069466,127.1278725
2020-11-27 15:44:33,1,1,27.58,96,37.08091434,127.1277808
2020-11-27 15:44:34,1,1,27.96,94,37.08113715,127.1275091
