rtime,speed,ldws,lkas
2020-11-27 15:43:05,83,1,1
2020-11-27 15:43:06,85,1,1
2020-11-27 15:43:07,87,1,1
2020-11-27 15:43:08,89,1,1
2020-11-27 15:43:09,90,1,1
2020-11-27 15:43:10,91,1,1
2020-11-27 15:43:11,89,1,1
2020-11-27 15:43:12,89,1,1
2020-11-27 15:43:13,88,1,1
2020-11-27 15:43:14,88,1,1
2020-11-27 15:43:15,87,1,1
2020-11-27 15:43:16,87,1,1
2020-11-27 15:43:17,87,1,1
2020-11-27 15:43:18,87,1,1
2020-11-27 15:43:19,87,1,1
2020-11-27 15:43:20,87,1,1
2020-11-27 15:43:21,87,1,1
2020-11-27 15:43:22,88,1,1
2020-11-27 15:43:23,89,1,1
2020-11-27 15:43:24,89,1,1
2020-11-27 15:43:25,89,1,1
2020-11-27 15:43:26,90,1,1
2020-11-27 15:43:27,90,1,1
2020-11-27 15:43:28,91,1,1
2020-11-27 15:43:29,91,1,1
2020-11-27 15:43:30,92,1,1
2020-11-27 15:43:31,93,1,1
2020-11-27 15:43:32,94,1,1
2020-11-27 15:43:33,7,1,1
2020-11-27 15:43:34,97,1,1
2020-11-27 15:43:35,97,1,1
2020-11-27 15:43:36,99,1,1
2020-11-27 15:43:37,100,1,1
2020-11-27 15:43:38,101,1,1
2020-11-27 15:43:39,102,1,1
2020-11-27 15:43:40,103,1,1
2020-11-27 15:43:41,104,1,1
2020-11-27 15:43:42,105,1,1
2020-11-27 15:43:43,106,1,1
2020-11-27 15:43:44,106,1,1
2020-11-27 15:43:45,107,1,1
2020-11-27 15:43:46,107,1,1
2020-11-27 15:43:47,107,1,1
2020-11-27 15:43:48,107,1,1
2020-11-27 15:43:49,106,1,1
2020-11-27 15:43:50,106,1,1
2020-11-27 15:43:51,105,1,1
2020-11-27 15:43:52,105,1,1
2020-11-27 15:43:53,104,1,1
2020-11-27 15:43:54,103,1,1
2020-11-27 15:43:55,102,1,1
2020-11-27 15:43:56,100,1,1
2020-11-27 15:43:57,98,1,1
2020-11-27 15:43:58,96,1,1
2020-11-27 15:43:59,95,1,1
2020-11-27 15:44:00,94,1,1
2020-11-27 15:44:01,94,1,1
2020-11-27 15:44:02,94,1,1
2020-11-27 15:44:03,94,1,1
2020-11-27 15:44:04,94,1,1
2020-11-27 15:44:05,95,1,1
2020-11-27 15:44:06,97,1,1
2020-11-27 15:44:07,99,1,1
2020-11-27 15:44:08,101,1,1
2020-11-27 15:44:09,101,1,1
2020-11-27 15:44:10,101,1,1
2020-11-27 15:44:11,102,1,1
2020-11-27 15:44:12,103,1,1
2020-11-27 15:44:13,103,1,1
2020-11-27 15:44:14,104,1,1
2020-11-27 15:44:15,105,1,1
2020-11-27 15:44:16,105,1,1
2020-11-27 15:44:17,105,1,1
2020-11-27 15:44:18,105,1,1
2020-11-27 15:44:19,105,1,1
2020-11-27 15:44:20,105,1,1
2020-11-27 15:44:21,106,1,1
2020-11-27 15:44:22,106,1,1
2020-11-27 15:44:23,106,1,1
2020-11-27 15:44:24,106,1,1
2020-11-27 15:44:25,106,1,1
2020-11-27 15:44:26,106,1,1
2020-11-27 15:44:27,106,1,1
2020-11-27 15:44:28,107,1,1
2020-11-27 15:44:29,106,1,1
2020-11-27 15:44:30,106,1,1
2020-11-27 15:44:31,104,1,1
2020-11-27 15:44:32,101,1,1
2020-11-27 15:44:33,96,1,1
2020-11-27 15:44:34,94,1,1
2020-11-27 15:44:35,90,1,1
2020-11-27 15:44:36,89,1,1
2020-11-27 15:44:37,89,1,1
2020-11-27 15:44:38,88,1,1
2020-11-27 15:44:39,88,1,1
2020-11-27 15:44:40,88,1,1
2020-11-27 15:44:41,87,1,1
